lon,lat,elevation
7.62880,45.97663,3036
7.62923,45.97663,3042
7.62966,45.97663,3046
7.63009,45.97663,3042
7.63052,45.97663,3043
7.63095,45.97663,3037
7.63138,45.97663,3030
7.63181,45.97663,3023
7.63224,45.97663,3018
7.63267,45.97663,3013
7.63309,45.97663,3007
7.63352,45.97663,3001
7.63395,45.97663,2995
7.63438,45.97663,2990
7.63481,45.97663,2986
7.63524,45.97663,2984
7.63567,45.97663,2984
7.63610,45.97663,2983
7.63653,45.97663,2980
7.63696,45.97663,2978
7.63739,45.97663,2979
7.63782,45.97663,2980
7.63824,45.97663,2979
7.63867,45.97663,2979
7.63910,45.97663,2980
7.63953,45.97663,2979
7.63996,45.97663,2977
7.64039,45.97663,2978
7.64082,45.97663,2984
7.64125,45.97663,2989
7.64168,45.97663,2993
7.64211,45.97663,3006
7.64254,45.97663,3016
7.64297,45.97663,3023
7.64339,45.97663,3026
7.64382,45.97663,3086
7.64425,45.97663,3146
7.64468,45.97663,3187
7.64511,45.97663,3225
